logID,sensorID,datetime,temperature,humidity,windspeed,windDirection,VPD
8425300,3,"2026-08-11 00:00:01",28.30000,82.40000,NULL,NULL,0.67698
8425302,4,"2026-08-11 00:00:01",28.30000,82.40000,NULL,NULL,0.67698
8425303,4,"2026-08-11 00:00:01",28.20000,84.10000,NULL,NULL,0.60804
8425305,3,"2026-08-11 00:00:04",28.30000,82.40000,NULL,NULL,0.67698
8425307,4,"2026-08-11 00:00:04",28.30000,82.40000,NULL,NULL,0.67698
8425308,4,"2026-08-11 00:00:04",28.20000,84.10000,NULL,NULL,0.60804
8425310,3,"2026-08-11 00:00:07",28.30000,82.40000,NULL,NULL,0.67698
8425311,4,"2026-08-11 00:00:07",28.30000,82.40000,NULL,NULL,0.67698
8425312,4,"2026-08-11 00:00:07",28.20000,84.10000,NULL,NULL,0.60804
8425314,3,"2026-08-11 00:00:10",28.30000,82.40000,NULL,NULL,0.67698
8425315,4,"2026-08-11 00:00:10",28.30000,82.40000,NULL,NULL,0.67698
8425316,4,"2026-08-11 00:00:10",28.20000,84.10000,NULL,NULL,0.60804
8425317,3,"2026-08-11 00:00:13",28.30000,82.50000,NULL,NULL,0.67313
8425319,4,"2026-08-11 00:00:13",28.30000,82.50000,NULL,NULL,0.67313
8425320,4,"2026-08-11 00:00:14",28.20000,84.10000,NULL,NULL,0.60804
8425321,3,"2026-08-11 00:00:16",28.30000,82.40000,NULL,NULL,0.67698
8425322,4,"2026-08-11 00:00:16",28.30000,82.40000,NULL,NULL,0.67698
8425323,4,"2026-08-11 00:00:17",28.20000,84.10000,NULL,NULL,0.60804
8425327,3,"2026-08-11 00:00:20",28.30000,82.40000,NULL,NULL,0.67698
8425328,4,"2026-08-11 00:00:20",28.30000,82.40000,NULL,NULL,0.67698
8425329,4,"2026-08-11 00:00:20",28.20000,84.20000,NULL,NULL,0.60422
8425332,3,"2026-08-11 00:00:23",28.30000,82.40000,NULL,NULL,0.67698
8425334,4,"2026-08-11 00:00:23",28.30000,82.40000,NULL,NULL,0.67698
8425335,4,"2026-08-11 00:00:23",28.20000,84.20000,NULL,NULL,0.60422
8425337,3,"2026-08-11 00:00:26",28.30000,82.40000,NULL,NULL,0.67698
8425338,4,"2026-08-11 00:00:26",28.30000,82.40000,NULL,NULL,0.67698
8425339,4,"2026-08-11 00:00:26",28.20000,84.20000,NULL,NULL,0.60422
8425342,3,"2026-08-11 00:00:29",28.30000,82.40000,NULL,NULL,0.67698
8425343,4,"2026-08-11 00:00:29",28.30000,82.40000,NULL,NULL,0.67698
8425344,4,"2026-08-11 00:00:30",28.20000,84.20000,NULL,NULL,0.60422
8425347,4,"2026-08-11 00:00:32",28.20000,84.20000,NULL,NULL,0.60422
8425349,3,"2026-08-11 00:00:34",28.30000,82.40000,NULL,NULL,0.67698
8425350,4,"2026-08-11 00:00:36",28.20000,84.20000,NULL,NULL,0.60422
8425354,3,"2026-08-11 00:00:37",28.30000,82.50000,NULL,NULL,0.67313
8425356,4,"2026-08-11 00:00:40",28.20000,84.20000,NULL,NULL,0.60422
8425360,3,"2026-08-11 00:00:42",28.30000,82.50000,NULL,NULL,0.67313
8425361,4,"2026-08-11 00:00:42",28.30000,82.50000,NULL,NULL,0.67313
8425362,4,"2026-08-11 00:00:42",28.20000,84.20000,NULL,NULL,0.60422
8425364,3,"2026-08-11 00:00:45",28.30000,82.50000,NULL,NULL,0.67313
